AircraftAirlineOperator,Count
AMERICAN AIRLINES,1815
US AIRWAYS*,844
MILITARY,736
SOUTHWEST AIRLINES,729
DELTA AIR LINES,585
BUSINESS,239
UNITED AIRLINES,228
FEDEX EXPRESS,188
UPS AIRLINES,179
AMERICA WEST AIRLINES,158
AMERICAN EAGLE AIRLINES,147
NORTHWEST AIRLINES,136
ALOHA AIRLINES,123
ATLANTIC COAST AIRLINES,110
TRANS WORLD AIRLINES,106
CONTINENTAL AIRLINES,93
COMAIR AIRLINES,84
EXPRESSJET (CONTINENTAL EXPRS),81
HAWAIIAN AIR,72
AIR CANADA,45
UNKNOWN,45
ALASKA AIRLINES,33
MESABA AIRLINES,32
HORIZON AIR,31
PIEDMONT AIRLINES,25
AIRTRAN AIRWAYS,24
GREAT LAKES AIRLINES,24
ATLANTIC SOUTHEAST,21
SKYWEST AIRLINES,21
PSA AIRLINES,21
PRIVATELY OWNED,20
EXECUTIVE JET AVIATION,19
ASTAR AIR CARGO,18
FRONTIER AIRLINES,18
ABX AIR,16
PINNACLE,16
ALLEGHENYAIRLINES,15
TRANS STATES AIRLINES,15
MESA AIRLINES,14
CHAUTAUQUA AIRLINES,12
GOVERNMENT,9
AIR WISCONSIN AIRLINES,9
JAPAN AIRLINES,5
COMMUTAIR,2
SPIRIT AIRLINES,1
